Altium Designer Pick and Place Locations
C:\Users\chenr\Desktop\NLOS\NLOS_Body_Tracker\Hardware\Schematics\PCB_Project\Project Outputs for GPS\Pick Place for GPS.csv

========================================================================================================================
File Design Information:

Date:       10-09-25
Time:       13:28
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R5","64.6430mm","115.5120mm","TopLayer","270"
"D1","64.6430mm","113.9175mm","TopLayer","270"
"U2","51.9430mm","113.7920mm","TopLayer","0"
"R4","68.3260mm","116.0780mm","TopLayer","180"
"R3","38.2850mm","102.6160mm","TopLayer","180"
"R2","68.0140mm","107.1880mm","TopLayer","180"
"R1","71.0620mm","107.1880mm","TopLayer","180"
"L3","41.6560mm","108.2040mm","TopLayer","270"
"L2","49.7840mm","121.6130mm","TopLayer","90"
"H2","67.6910mm","123.3170mm","BottomLayer","0"
"H1","67.6910mm","119.6645mm","BottomLayer","0"
"C6","46.2995mm","104.8374mm","TopLayer","180"
"C5","41.6560mm","111.4580mm","TopLayer","90"
"C4","63.3730mm","105.9190mm","TopLayer","270"
"B2","41.6560mm","113.7920mm","BottomLayer","0"
"B1","68.0720mm","111.7600mm","TopLayer","180"
"Z1","43.9420mm","104.5540mm","TopLayer","0"
"U1","41.6560mm","104.7020mm","TopLayer","90"
"L1","64.6430mm","111.0560mm","TopLayer","270"
"C3","71.8820mm","111.1240mm","TopLayer","270"
"C2","51.4350mm","121.6180mm","TopLayer","90"
"C1","41.1960mm","102.6160mm","TopLayer","180"
